date,AQI,PM25,PM10,So2,No2,Co,O3,AQI_pred
2018-01-29,55.0,8.0,61.0,3.0,18.0,0.37,59.0,54.070663
2018-01-30,36.0,10.0,34.0,5.0,26.0,0.44,57.0,37.846558
2018-01-31,61.0,19.0,70.0,6.0,28.0,0.47,54.0,58.88408
2018-02-01,67.0,30.0,83.0,10.0,39.0,0.78,39.0,67.37977
2018-02-02,35.0,7.0,29.0,4.0,11.0,0.36,67.0,36.788624
2018-02-03,28.0,7.0,20.0,4.0,19.0,0.4,55.0,30.88752
2018-02-04,37.0,17.0,34.0,7.0,33.0,0.57,43.0,38.057156
2018-02-05,32.0,6.0,17.0,3.0,14.0,0.34,64.0,31.420715
2018-02-06,61.0,41.0,53.0,12.0,51.0,0.9,29.0,55.94937
2018-02-07,63.0,32.0,53.0,8.0,34.0,0.73,54.0,55.932922
2018-02-08,69.0,48.0,68.0,11.0,54.0,0.96,32.0,69.40154
2018-02-09,90.0,41.0,109.0,8.0,36.0,0.81,47.0,85.48279
2018-02-10,41.0,9.0,41.0,3.0,12.0,0.36,67.0,41.742443
2018-02-11,64.0,8.0,78.0,3.0,6.0,0.28,73.0,64.46279
2018-02-12,52.0,10.0,55.0,4.0,13.0,0.38,66.0,50.19662
2018-02-13,80.0,55.0,77.0,13.0,58.0,1.2,29.0,74.40879
2018-02-14,43.0,14.0,35.0,3.0,19.0,0.44,69.0,41.61651
2018-02-15,62.0,37.0,48.0,13.0,19.0,0.52,70.0,61.01832
2018-02-16,105.0,75.0,97.0,14.0,23.0,0.61,64.0,107.96892
2018-02-17,105.0,78.0,89.0,15.0,34.0,1.43,42.0,106.7635
2018-02-18,148.0,113.0,95.0,14.0,48.0,1.86,47.0,148.90244
2018-02-19,185.0,140.0,75.0,23.0,44.0,2.18,52.0,176.11589
2018-02-20,72.0,47.0,19.0,5.0,21.0,0.72,68.0,67.097176
2018-02-21,51.0,32.0,41.0,7.0,26.0,0.66,60.0,53.41544
2018-02-22,44.0,15.0,44.0,5.0,27.0,0.51,57.0,43.907394
2018-02-23,48.0,20.0,48.0,5.0,30.0,0.63,53.0,46.18494
2018-02-24,63.0,30.0,77.0,10.0,22.0,0.73,54.0,62.795845
2018-02-25,75.0,54.0,66.0,10.0,42.0,0.88,41.0,77.17909
2018-02-26,159.0,120.0,120.0,21.0,71.0,1.66,43.0,155.932
2018-02-27,219.0,169.0,171.0,12.0,57.0,2.05,38.0,215.62581
2018-02-28,133.0,92.0,121.0,9.0,37.0,1.12,66.0,126.05846
2018-03-01,48.0,14.0,48.0,3.0,15.0,0.38,75.0,47.764107
2018-03-02,99.0,73.0,99.0,17.0,52.0,1.08,41.0,99.77275
2018-03-03,217.0,167.0,195.0,19.0,75.0,1.94,29.0,212.41534
2018-03-04,135.0,61.0,198.0,7.0,37.0,0.89,38.0,129.93427
2018-03-05,92.0,47.0,132.0,8.0,43.0,0.93,37.0,93.500465
2018-03-06,65.0,45.0,65.0,10.0,40.0,0.95,44.0,67.05735
2018-03-07,64.0,44.0,61.0,8.0,48.0,0.78,34.0,64.38271
2018-03-08,61.0,42.0,58.0,5.0,35.0,0.73,59.0,64.6614
2018-03-09,136.0,101.0,112.0,12.0,68.0,1.3,35.0,136.31235
2018-03-10,165.0,123.0,136.0,15.0,64.0,1.53,60.0,160.2474
2018-03-11,83.0,60.0,69.0,16.0,47.0,1.33,51.0,82.62128
2018-03-12,183.0,141.0,147.0,11.0,72.0,1.7,43.0,182.30005
2018-03-13,289.0,238.0,9.0,10.0,93.0,2.08,71.0,286.4605
2018-03-14,293.0,242.0,0.0,16.0,80.0,2.61,54.0,290.37622
2018-03-15,69.0,26.0,48.0,3.0,17.0,0.46,75.0,53.502636
2018-03-16,57.0,31.0,63.0,6.0,29.0,0.59,62.0,58.370644
2018-03-17,82.0,58.0,35.0,4.0,60.0,0.93,18.0,78.93615
2018-03-18,135.0,102.0,21.0,2.0,54.0,1.02,41.0,131.69252
2018-03-19,101.0,73.0,29.0,3.0,45.0,0.78,51.0,102.551575
2018-03-20,44.0,22.0,39.0,3.0,32.0,0.48,61.0,45.115868
2018-03-21,78.0,56.0,79.0,8.0,53.0,0.84,38.0,81.78349
2018-03-22,114.0,85.0,103.0,7.0,65.0,0.96,47.0,116.78247
2018-03-23,146.0,110.0,137.0,10.0,86.0,1.36,31.0,143.31367
2018-03-24,117.0,85.0,84.0,9.0,60.0,1.12,63.0,116.92543
2018-03-25,76.0,53.0,91.0,6.0,56.0,0.63,70.0,80.519615
2018-03-26,155.0,117.0,141.0,11.0,70.0,0.99,78.0,151.39966
2018-03-27,245.0,194.0,195.0,11.0,98.0,1.37,64.0,240.35936
2018-03-28,388.0,154.0,858.0,5.0,52.0,0.89,56.0,382.22333
2018-03-29,115.0,44.0,178.0,12.0,45.0,0.86,51.0,115.00642
2018-03-30,68.0,39.0,81.0,7.0,50.0,0.59,60.0,66.11874
2018-03-31,128.0,96.0,148.0,12.0,80.0,1.05,56.0,124.742065
2018-04-01,221.0,173.0,209.0,14.0,78.0,1.51,102.0,219.00592
2018-04-02,283.0,229.0,211.0,10.0,61.0,1.82,104.0,280.66998
2018-04-03,78.0,12.0,98.0,2.0,15.0,0.28,75.0,77.79541
2018-04-04,34.0,21.0,20.0,2.0,30.0,0.44,36.0,33.3716
2018-04-05,91.0,48.0,70.0,2.0,28.0,0.59,33.0,76.54914
2018-04-06,78.0,16.0,89.0,1.0,8.0,0.26,86.0,72.835
2018-04-07,52.0,15.0,43.0,3.0,18.0,0.31,86.0,49.607536
2018-04-08,68.0,38.0,85.0,5.0,47.0,0.56,55.0,68.07142
2018-04-09,112.0,83.0,121.0,20.0,62.0,1.36,65.0,110.69779
2018-04-10,96.0,53.0,118.0,7.0,39.0,0.87,60.0,95.38835
2018-04-11,50.0,17.0,53.0,3.0,33.0,0.32,66.0,51.027298
